,case_id,Authority,Betrayal,Care,Degradation,Fairness,Freedom,GEOID,Harm,Injustice,Loyalty,Oppression,Purity,Subversion,for_sah,is_vivid,retweet_count,screen_name,text,user_id,month,day,year,clf_unemploy_pct,cvap,demgov,female_pct,lesscollege_pct,lesshs_pct,mask_score,median_hh_inc,net_dem_gov_votes,net_dem_president_votes,parent,repgov,ruralurban_cc,urm_pct,is_blue,deaths,cases
12,1033,0,0,0,0,0,0,6025,1,0,0,0,0,0,1,0,11.0,dulce12500,the valley now has 33 cases thats what happens when you choose to party and not social distance just stay home,2554085965,3,31,2020,9.0,8.0,7.0,1.0,7.0,9.0,9.0,3.0,9.0,9.0,0651,5.0,3.0,9.0,1.0,0.0,33.0
13,1034,0,0,1,0,0,0,34031,0,0,0,0,0,0,1,0,0.0,stunnamattt,The faster yah go tf in the house and stay their the faster we could come out this aint no joke STAY HOME,946151615119216644,3,31,2020,5.0,9.0,0.0,8.0,2.0,7.0,9.0,8.0,8.0,9.0,3409,0.0,1.0,9.0,1.0,1.0,1294.0
14,1035,0,0,0,0,0,0,6077,1,0,0,0,0,0,1,0,1.0,frisbie_EvAn,Stay the fuck home or were all gonna die of COVID-19 https://t.co/nOfs5xSLoD,4170140773,3,31,2020,9.0,9.0,8.0,4.0,5.0,8.0,8.0,7.0,9.0,9.0,0609,8.0,2.0,9.0,1.0,6.0,136.0
15,104,0,0,1,0,0,0,27053,0,0,0,0,0,0,1,0,0.0,mischasmom,"This  is  why  you  should stay  home  
dont be case 31
https://t.co/EB6TkAOxLU",36917361,3,15,2020,2.0,9.0,8.0,6.0,0.0,1.0,7.0,9.0,9.0,9.0,2705,8.0,1.0,6.0,1.0,0.0,6.0
16,1041,0,0,1,0,0,0,36005,0,0,0,0,0,0,1,0,0.0,Israelmarrero10,Nicely done guy's. Because we all have to thanks all those medical staff. Who are putting their life on the front line. To save us all. From this deadly disease coronavirus. And you guy's keep stay home so we can keep saving lives. God bless America our home sweet home.  https://t.co/4WyvDVghOc,1236636649221734407,3,31,2020,9.0,9.0,8.0,9.0,4.0,9.0,9.0,1.0,9.0,9.0,3615,7.0,1.0,9.0,1.0,465.0,7766.0
17,1042,0,0,1,0,0,0,24031,0,0,1,0,0,0,1,0,0.0,TheCaroLove,Stuck at home? No. SAFE at home. Thank you @govlarryhogan for taking COVID-19 so seriously.    #maryland #marylandstrong #wereallinthistogether #saferathome #safeathome #stayhome #staysafe #stayhealthy @ https://t.co/JlbfIrccAZ,2290053980,3,31,2020,3.0,9.0,8.0,8.0,0.0,2.0,9.0,9.0,9.0,9.0,2403,8.0,1.0,8.0,1.0,1.0,388.0
18,1043,0,0,1,0,0,0,24510,0,0,0,0,0,0,1,0,0.0,chaz_hong,"Maryland has responded early to #COVID19 to #FlattenTheCurve &amp; we now have Stay at Home order. This has been painful, but we hope acting early &amp; strong will pay dividends in lives saved &amp; faster economic recovery. @GovLarryHogan @UMMC https://t.co/OGOzjw1iRB",1029548311953465344,3,31,2020,9.0,9.0,8.0,9.0,1.0,6.0,8.0,4.0,9.0,9.0,2403,7.0,1.0,9.0,1.0,2.0,187.0
20,1052,0,0,1,0,0,0,25009,0,0,0,0,0,0,1,0,0.0,afern_alex,Just stay inside everyone.  Italy is recovering we will too https://t.co/rZGsqRs2RJ,1026501114,3,31,2020,5.0,9.0,8.0,9.0,0.0,3.0,9.0,9.0,0.0,9.0,2506,8.0,1.0,6.0,1.0,12.0,1238.0
22,1057,0,0,0,0,0,0,6037,1,0,0,0,0,0,1,0,0.0,mikibecerraa,These elderly people are just asking to get sick huh STAY HOME,1557552655,3,31,2020,7.0,9.0,8.0,6.0,1.0,8.0,9.0,8.0,9.0,9.0,0640,8.0,1.0,9.0,1.0,54.0,3019.0
23,1058,0,0,1,0,0,0,48439,0,0,0,0,0,0,1,0,0.0,itstaylortyler,This is how we do it in Texas !  Stay at home and stay safe yall !#COVID19  #CoronavirusUSA  #essentialservices #StayAtHome https://t.co/yyWTvMEKhu,26630630,3,31,2020,3.0,9.0,8.0,7.0,1.0,5.0,8.0,8.0,0.0,0.0,4833,8.0,1.0,8.0,0.0,1.0,273.0
24,1060,0,0,1,0,0,0,36061,0,0,0,0,0,0,1,0,0.0,smittty_93,IF YALL NIGGAS WOULD JUST STAY YALL ASSES INSIDE THEN YOU WONT NEED A REMEDY https://t.co/pqchPSOSqP,951470737994518529,3,31,2020,5.0,9.0,8.0,9.0,0.0,5.0,9.0,9.0,9.0,9.0,3613,8.0,1.0,8.0,1.0,292.0,6876.0
26,1062,0,0,0,0,0,0,37135,1,0,0,0,0,0,1,1,3.0,CrazyNormie,My best friend may be dying. STAY THE FUCK AT HOME.,3997957768,3,31,2020,3.0,8.0,8.0,9.0,0.0,1.0,9.0,8.0,9.0,9.0,3704,7.0,2.0,6.0,1.0,0.0,37.0
27,1065,0,0,0,0,0,0,48439,1,0,0,0,0,0,1,0,0.0,CsAiSl9,Maybe its us essential workers that are out there still spreading the virus Let us stay home!!!,883868015376318464,3,31,2020,3.0,9.0,8.0,7.0,1.0,5.0,8.0,8.0,0.0,0.0,4833,8.0,1.0,8.0,0.0,1.0,273.0
29,1067,0,0,0,0,0,0,1073,0,0,0,0,1,0,1,0,2.0,cpacman2,"Noah's family was on 'Lockdown' for 40 days, 40 nights and God protected them. God will do the same for you. Have Faith.@curtispatmon @jkittkat @profstan72 @BamaT61 @cynthia_rehberg @dixielandlady @jade78052492",307632165,3,31,2020,6.0,9.0,8.0,9.0,1.0,3.0,7.0,5.0,6.0,9.0,0106,8.0,1.0,9.0,1.0,0.0,286.0
30,1068,1,0,0,0,0,0,12053,0,0,0,0,0,0,1,0,1.0,KarenBoling3,"@GovRonDeSantis you said some beaches here in fla are still opened, people still not doing what they are supposed to be doing, so if the president says another 30 days stay at home, then it's your responsibility as governor to have the people of fla to follow the president rules.",1189265011321032705,3,31,2020,9.0,8.0,8.0,9.0,6.0,5.0,6.0,3.0,3.0,0.0,1211,7.0,1.0,6.0,0.0,0.0,24.0
31,1069,0,0,1,0,0,0,45063,0,0,0,0,0,0,1,0,0.0,carp40404,SC just got an alert for all non essential businesses to close down stay home for ur safety 4 the coronavirus,992150019426930691,3,31,2020,5.0,9.0,8.0,7.0,1.0,3.0,7.0,7.0,0.0,0.0,4502,8.0,2.0,6.0,0.0,1.0,54.0
33,1072,0,0,0,0,0,0,6077,1,0,0,0,0,0,1,0,0.0,Tedards,@LindseyGrahamSC No. You need to resign now for all the damage you have personally done to this country. Why isn't SC under a statewide stay-at-home order? You are not saving lives. #coronavirus,250906472,3,31,2020,9.0,9.0,8.0,4.0,5.0,8.0,8.0,7.0,9.0,9.0,0609,8.0,2.0,9.0,1.0,6.0,136.0
34,1075,1,0,0,0,0,0,11001,0,0,0,0,0,0,1,0,0.0,DannyjRyan4321,"Listen to King Larry.

Stay. The. Fuck. Home. https://t.co/wq3OXaN1DX",784375850410074112,3,31,2020,7.0,9.0,0.0,9.0,0.0,3.0,9.0,9.0,8.0,9.0,1198,0.0,1.0,9.0,1.0,9.0,495.0
35,1078,0,0,1,0,0,0,12095,0,0,0,0,0,0,1,0,0.0,ATwiss99,"Got furloughed today. Not the worst thing in the world. I'm happy to stay home and safe, but it sucks it has come to this.",605164440,3,31,2020,6.0,9.0,8.0,6.0,1.0,4.0,9.0,6.0,9.0,9.0,1210,8.0,1.0,9.0,1.0,4.0,373.0
36,1079,0,0,0,0,0,0,48201,1,0,0,0,0,0,1,0,0.0,OutdoorsWorkman,Stay home or die! #coronavirus #COVID19 #SixFeetMF https://t.co/MNnbBV5VTp,119100938,3,31,2020,5.0,9.0,8.0,4.0,1.0,8.0,9.0,8.0,0.0,9.0,4829,8.0,1.0,9.0,1.0,20.0,680.0
37,1082,0,0,1,0,0,0,8031,0,0,0,0,0,0,1,0,2.0,TayAndersonCO,Stay Home - Save Lives https://t.co/S80v6pcr1H,747860901991223296,4,1,2020,3.0,9.0,8.0,3.0,0.0,5.0,9.0,8.0,9.0,9.0,0801,8.0,1.0,8.0,1.0,8.0,586.0
38,1086,0,0,0,0,0,0,6085,1,0,0,0,0,0,1,0,2.0,kaaay_dawggg,660 died in 24 hours IN THE UNITED STATES. And yall still wanna be goin outside hanging w friends. STAY YA ASS HOME,591371065,4,1,2020,4.0,9.0,8.0,2.0,0.0,5.0,9.0,9.0,9.0,9.0,0619,8.0,1.0,7.0,1.0,32.0,956.0
39,1090,0,0,1,0,0,0,15007,0,0,0,0,0,0,1,0,0.0,HustleNBHumble,"@LynnKawano May God continue to watch over him and bless him with more healing. Please also watch over his family and friends who are also experiencing a stressful time. In Jesus Name, Amen. 

Stay safe, stay home, and stay strong!! ",1221577136634359808,4,1,2020,2.0,7.0,7.0,3.0,1.0,1.0,9.0,9.0,9.0,9.0,1502,5.0,5.0,5.0,1.0,0.0,12.0
41,1096,0,0,1,0,0,0,22051,0,0,0,0,0,0,1,1,1.0,TorridMrs,"One of my coworkers is in the hospital.
On a ventilator. At 33.

My round. My fuckin dawg. I really cant believe this. 

This coronavirus shit is for real man. Stay safe, stay home and sanitize.",21954564,4,1,2020,4.0,9.0,0.0,8.0,2.0,6.0,8.0,6.0,8.0,0.0,2202,0.0,1.0,8.0,0.0,64.0,1433.0
42,1097,0,0,0,0,0,0,6037,0,0,1,0,0,0,1,0,0.0,sophiamarierod,Do your part and stay home,622085524,4,1,2020,7.0,9.0,8.0,6.0,1.0,8.0,9.0,8.0,9.0,9.0,0640,8.0,1.0,9.0,1.0,64.0,3518.0
43,1102,0,0,1,0,0,0,24005,0,0,1,0,0,0,1,0,0.0,dulaney2020,"its going to take more than a few people for us to get through this... EVERYONE needs to care! Stay patient, stay healthy &amp; STAY HOME!  @DulaneyHigh @DulaneyLibrary @dulaneyyearbook @DulaneyPTSA @CoachLochte @CoachKorrow @mikmellis #StayHome #dulaney2020 https://t.co/pfY5ItlbtM",931382027458433024,4,1,2020,3.0,9.0,8.0,9.0,0.0,2.0,9.0,9.0,0.0,9.0,2407,8.0,1.0,7.0,1.0,1.0,289.0
45,1107,0,0,0,0,0,0,6059,0,0,0,1,0,0,0,0,0.0,Rogerwreis,@VBTheWise We are in prison we have to stay home.,949039717,4,1,2020,4.0,9.0,8.0,5.0,0.0,6.0,9.0,9.0,0.0,9.0,0646,8.0,1.0,8.0,1.0,10.0,606.0
47,1109,0,0,0,0,0,0,6019,1,0,0,0,0,0,1,0,0.0,NettyXO_,Im just convinced that we all gonna die anyways SINCE EVERYBODY AND THEY MOMMAS DONT KNOW HOW TO STAY THE FUCK HOME AND STOP HANGING OUT WITH THEIR FRIENDS. ,88106525,4,1,2020,9.0,9.0,8.0,3.0,4.0,9.0,9.0,4.0,0.0,9.0,0621,8.0,2.0,9.0,1.0,0.0,68.0
48,1110,0,0,0,0,0,0,6077,1,0,0,0,0,0,1,0,1.0,CcriderJohn,Governors who refuse to demand to have stay at home orders are effecting all of us. These will kill many Americans because their just stupid.,1199596897,4,1,2020,9.0,9.0,8.0,4.0,5.0,8.0,8.0,7.0,9.0,9.0,0609,8.0,2.0,9.0,1.0,8.0,151.0
50,1113,0,0,1,0,0,0,24015,0,0,1,0,0,0,1,0,0.0,simonmc68,"WE are the solution. Stay at home. Only go out if you really need to. Do NOT cross state lines. Act as if your life, or the life of a loved one, depends on your behavior. Because it does. WE are the solution.",3264074672,4,1,2020,4.0,8.0,6.0,5.0,3.0,4.0,9.0,9.0,0.0,0.0,2401,7.0,1.0,5.0,0.0,0.0,16.0
53,1128,0,0,0,0,0,0,36055,1,0,0,0,0,0,1,1,0.0,idetravels,"About frickin time... @GovRonDeSantis

My grandmother lives down in Florida and your delay in doing this risks her life. Cant wait to see you voted out of office ASAP!

 Florida Gov. Ron DeSantis issues stay-at-home order following mounting pressure  https://t.co/B6wvIJAtUa",118896513,4,1,2020,5.0,9.0,8.0,8.0,0.0,2.0,9.0,7.0,2.0,9.0,3625,8.0,1.0,6.0,1.0,9.0,349.0
54,1129,0,0,1,0,0,0,26161,0,0,0,0,0,0,1,0,0.0,PSILabs,"Look who ISN'T practicing social distancing!  You don't want to be like these spider mites. Stay Home, Stay Safe, and stay six feet away from one another! 
.

.
#socialdistancing #covid19 #knowledgeispower https://t.co/LWE1JfU4Nn",2726549623,4,1,2020,4.0,9.0,8.0,5.0,0.0,0.0,9.0,8.0,9.0,9.0,2612,8.0,2.0,6.0,1.0,8.0,430.0
56,1141,0,0,1,0,0,0,45045,0,0,0,0,0,0,1,0,0.0,MartyNicholson1,@wyffnews4 - Can you please call the governor and ask him point blank why SC is the ONLY state (along with Alabama) east of the Mississippi that has NOT mandated stay-at-home orders. Please...we need to stay (get) ahead of the novel coronavirus. Thank you!,119769960,4,1,2020,4.0,9.0,8.0,8.0,1.0,5.0,5.0,6.0,0.0,0.0,4504,8.0,2.0,7.0,0.0,1.0,129.0
57,1143,1,0,0,0,0,0,26043,0,0,0,0,0,0,1,0,0.0,Kloss1,@psehunter71 @PGDougSchneider Should not be coming here period. No rationalization for it at all. Listen to instructions. Stay home.,68467566,4,1,2020,5.0,5.0,5.0,4.0,2.0,0.0,6.0,3.0,4.0,3.0,2601,4.0,7.0,0.0,0.0,0.0,0.0
58,1146,0,0,0,0,0,0,16001,1,0,0,0,0,0,1,0,4.0,the_morgpie,I just feel like its really not hard to stay home right now. Are people really that ignorant that it takes a loved one being affected to take this seriously...? Like how many more deaths is it going to take TO JUST STAY HOME,536098777,4,1,2020,2.0,9.0,8.0,3.0,0.0,0.0,4.0,8.0,9.0,0.0,1601,8.0,2.0,4.0,0.0,3.0,195.0
59,1148,0,0,1,0,0,0,36005,0,0,0,0,0,0,1,0,0.0,Israelmarrero10,@nycgov Nicely spoken because why anyone is going to the Emergency room if they don't have a Emergency. It doesn't make any sense. So please stay safe and stay home alone. God bless America our home sweet home. ,1236636649221734407,4,2,2020,9.0,9.0,8.0,9.0,4.0,9.0,9.0,1.0,9.0,9.0,3615,7.0,1.0,9.0,1.0,655.0,11463.0
60,1150,0,0,1,0,1,0,17031,0,0,0,0,0,0,1,1,0.0,ChiTeacherMemes,"WTF Lori! I thought you said stay home and save lives! You better take yo' ass back home before I make a citizen's arrest!
.
.
.
#whereslightfoot #lorilightfoot #stayhomesavelives #quarantine #flattenthecurve #covid19 #drmemes #memeology #memeologist https://t.co/IVce1Oj0DG",1127245045797728256,4,2,2020,8.0,9.0,8.0,8.0,0.0,5.0,8.0,8.0,9.0,9.0,1707,8.0,1.0,9.0,1.0,107.0,5575.0
61,1151,0,0,1,0,0,0,48029,0,0,0,0,0,0,1,0,0.0,TxRENEgade28c,@sweetk01 Dannnng that sucks! Hopefully soon it goes back to normal. If everyone can stay home and not get sick! ,1103857721365929984,4,2,2020,4.0,9.0,8.0,6.0,1.0,6.0,9.0,7.0,2.0,9.0,4820,8.0,1.0,9.0,1.0,9.0,229.0
62,1152,0,0,1,0,0,0,12091,0,0,0,0,0,0,1,0,0.0,KTeems87,"@BamaGoose256 If your worried about getting it, stay home.....its simple",878431058466926592,4,2,2020,4.0,8.0,7.0,2.0,1.0,2.0,4.0,8.0,0.0,0.0,1201,8.0,3.0,6.0,0.0,1.0,51.0
63,1158,0,0,1,0,0,0,6037,0,0,0,0,0,0,1,0,0.0,suhmbrazil,"Stay home, save lives https://t.co/JYNapeN4Ty",257462753,4,2,2020,7.0,9.0,8.0,6.0,1.0,8.0,9.0,8.0,9.0,9.0,0640,8.0,1.0,9.0,1.0,78.0,4045.0
64,1159,0,0,1,0,0,0,4021,0,0,0,0,0,0,1,0,1.0,gloriamfholt,SECOND WAVE ... STAY TF HOME https://t.co/iHoVTOqHTY,3267858715,4,2,2020,8.0,9.0,8.0,1.0,5.0,6.0,7.0,6.0,0.0,0.0,0401,8.0,1.0,8.0,0.0,0.0,69.0
66,1163,0,0,1,0,0,0,34021,0,0,0,0,0,0,1,0,0.0,zinardgz818,We are not super heroes #StayHome #StopTheSpead #SaveLives https://t.co/EAlEeBADQW,359694190,4,2,2020,7.0,9.0,0.0,7.0,0.0,4.0,9.0,9.0,8.0,9.0,3412,0.0,2.0,8.0,1.0,4.0,386.0
69,1176,0,0,1,0,0,0,47065,0,0,0,0,0,0,1,0,0.0,RobbyKRyder,"@R2andDan @lang @AndyBerke @GovBillLee I agree with you big picture. 

Just don't see this as an encroachment. People have to stay home to keep everyone safe. 

People right to be a dumbass and go out ends when it starts endangering my life.",15214624,4,2,2020,5.0,9.0,7.0,8.0,1.0,4.0,2.0,6.0,0.0,0.0,4703,8.0,2.0,7.0,0.0,5.0,61.0
70,118,0,0,1,0,0,0,48439,0,0,0,0,0,0,1,0,1.0,AmyGrahamPagitt,"Time for my daily: PLEASE TAKE THIS SERIOUSLY AND STAY HOME tweet. 

https://t.co/OCLHHKHChd",2163643705,3,16,2020,3.0,9.0,8.0,7.0,1.0,5.0,8.0,8.0,0.0,0.0,4833,8.0,1.0,8.0,0.0,0.0,5.0
71,1181,0,0,1,0,0,0,34007,0,0,0,0,0,0,1,0,0.0,DiannePZ,That figures!  Shows which states have idiots as Governirs. People in these states should self quarantine.  Save yourselves please. https://t.co/AQkWFbv6wI,326196346,4,2,2020,7.0,9.0,0.0,8.0,1.0,4.0,9.0,9.0,8.0,9.0,3401,0.0,1.0,8.0,1.0,6.0,343.0
72,1182,0,0,0,0,0,0,20091,1,0,0,0,0,0,1,0,0.0,taken0727,"@GovParsonMO a little late on your ""stay at home"" order.
300+ a day in new cases is 
all due to your ignorance. 
Grateful that @GovLauraKelly was looking out for Kansas.

Live blog: MO reports 1,800 COVID-19 cases, 19 deaths - https://t.co/6wYzV8FF2n",245124075,4,2,2020,1.0,9.0,8.0,7.0,0.0,0.0,8.0,9.0,2.0,2.0,2003,8.0,1.0,5.0,0.0,3.0,161.0
73,1183,0,0,0,0,0,0,6065,1,0,0,0,0,0,1,0,0.0,fayebay91,I do not understand why people are still traveling  this is why the #COVID19 curve isnt flattening! STAY. THE. FUCK. HOME.,2323019857,4,2,2020,9.0,9.0,8.0,4.0,3.0,7.0,9.0,8.0,0.0,9.0,0636,8.0,1.0,9.0,1.0,14.0,493.0
74,1187,0,0,1,0,0,0,44007,0,0,0,0,0,0,1,0,0.0,Craftbeerdiva,"@CaddieChris814 It makes sense. Stay home, be safe.",312396948,4,2,2020,7.0,9.0,8.0,8.0,1.0,6.0,9.0,6.0,9.0,9.0,4401,8.0,1.0,7.0,1.0,10.0,418.0
75,119,0,0,1,0,0,0,17113,1,0,1,0,0,0,1,0,0.0,Kcchiefs58dt,"People please STOP making this political. ALL of us are at risks and minimizing this by claiming one side or another created this is as dangerous as it is idiotic. Stay home, stay safe and get your fing priorities straight...not everything is rep vs dem. United we Stand!!! https://t.co/TAlwQRXPCt",1295330804,3,16,2020,2.0,8.0,7.0,8.0,0.0,0.0,6.0,9.0,0.0,7.0,1718,8.0,3.0,5.0,0.0,0.0,0.0
76,1195,0,0,1,0,0,0,6001,0,0,0,0,0,0,1,0,0.0,pkannofisbump,"Stay Home For The Grandmas
#stayhomeforthem #stayathome #shelterinplace #covidkindness #covid_19 #2020visions #documentaryphotography #blackandwhitephotography #bnwcaptures #oaklandca #californialockdown https://t.co/emO2ss3m8L",250002031,4,3,2020,5.0,9.0,8.0,7.0,0.0,4.0,9.0,9.0,9.0,9.0,0615,8.0,1.0,8.0,1.0,12.0,443.0
77,1197,1,0,0,0,0,0,36061,0,0,0,0,0,0,1,0,77.0,Sarah_Boxer,"At #CNNTownHall tonight, Dr. Fauci says all states should issue stay-at-home orders.
If you look at what's going on in this country, I just don't understand why we're not doing that. We really should be. https://t.co/VCLb1UFQxh",41272328,4,3,2020,5.0,9.0,8.0,9.0,0.0,5.0,9.0,9.0,9.0,9.0,3613,8.0,1.0,8.0,1.0,465.0,9625.0
79,1203,0,0,1,0,0,0,6059,1,0,0,0,0,0,1,1,10.0,hanna_romano,Coming from someone who interacts with hundreds of customers a day please please please STAY HOME unless it is necessary!! Be considerate and KIND to those who are working we are at a high risk of bring the virus home to our families and thats terrifying &amp; stressful!!! https://t.co/zy6R7IllTr,2705686597,4,3,2020,4.0,9.0,8.0,5.0,0.0,6.0,9.0,9.0,0.0,9.0,0646,8.0,1.0,8.0,1.0,13.0,711.0
80,1204,0,0,0,0,0,0,34013,0,0,1,0,0,0,1,0,0.0,muslimah_pr,"This is #newarkstrong #newarknj #WeAreAllInThisTogether we need to stand strong, #photooftheday #QuarantineLife of a journalist @muslimah_pr @urbanbushwoman9 @WomenNMedia @iJesseWilliams https://t.co/loo9Ad7HhH",42067384,4,3,2020,9.0,9.0,0.0,9.0,0.0,6.0,8.0,7.0,8.0,9.0,3410,0.0,1.0,9.0,1.0,118.0,3067.0
81,1209,0,0,0,0,0,0,6073,1,1,0,0,0,0,1,1,0.0,PoorLivesMatt3r,"#97fStrattons still up,am! loudly w/bf&amp;others?
cursing&amp;loud;Means DRUNK AGAIN..she invites many!?!During Covid-19,stay-at-home!?her?safe?@SDCountyHHSA
How she know those ppl safe, not passing Covid-19, @sandiegoPD,@LorenaAD80 @SupFletcher 
@SDCityClerk? @Dani_M_Walker https://t.co/BRBBPMWxfK",752515688468590592,4,3,2020,6.0,9.0,8.0,3.0,0.0,5.0,9.0,9.0,9.0,9.0,0652,8.0,1.0,8.0,1.0,16.0,966.0
82,1210,0,0,0,0,0,0,22033,1,0,0,0,0,0,1,0,1.0,RAIDERMADE408,"Bruh.
Muthafuckas are writing songs called stay home, and I'm dead.

*And so are u, if u don't.",926340666606718977,4,3,2020,5.0,9.0,0.0,9.0,0.0,2.0,7.0,6.0,8.0,9.0,2206,0.0,2.0,9.0,1.0,13.0,389.0
84,1212,0,0,0,0,0,0,29189,1,0,0,0,0,0,1,0,1.0,Singer_FitGal,"1,839 confirmed, and 19 deaths??  For God's sake, Parson!!!!  Issue a statewide lockdown already!!!  You're wasting our time and letting more people get COVID-19 and more people die!!!!  My sister's right; YOU SUCK!!!! #COVID19 @mikeparson",1236703571384700930,4,3,2020,4.0,9.0,8.0,9.0,0.0,1.0,8.0,8.0,9.0,9.0,2902,8.0,1.0,7.0,1.0,20.0,914.0
85,1215,1,0,0,0,0,0,26049,0,0,0,0,0,0,1,0,0.0,JoeBoo3,Not sure how it is in the rest of the country but here in Flint people are stupid. They have no idea what stay at home means and they'll be the reason this lasts longer than it was supposed to.....,438716873,4,3,2020,9.0,9.0,8.0,8.0,4.0,3.0,7.0,3.0,9.0,9.0,2605,8.0,2.0,7.0,1.0,11.0,431.0
87,1219,0,0,1,0,0,0,48439,0,0,0,0,0,0,1,0,0.0,EvaCastro_,"This thread brought me to TEARS. Yall need to stay at home!! Even if youre hanging out with less than 10 people, anyone could be a carrier!! Youre putting not only yourself at risk, but people you love. Stop being selfish and stay at home!(Unless you need groceries or whatevs) https://t.co/r4clzwhLO5",577487721,4,3,2020,3.0,9.0,8.0,7.0,1.0,5.0,8.0,8.0,0.0,0.0,4833,8.0,1.0,8.0,0.0,13.0,404.0
